SITE,INDIVIDUAL,DESCRIPTION
BEALTOMMD1,Tom,"Tabby on top, white underneath (Tom Beal's pet cat)"
BLOCDAVMD1,Dan,All black
BLOCDAVMD1,Drake,All tabby
BLOCDAVMD1,Dick,"Tabby, white underneath and on face"
BLOCDAVMD1,Desiree,"Siamese-colored, collar"
BLOCDAVMD1,Deirdre,"Tortoiseshell, collar"
BLOCDAVMD1,Dom,White with calico/tabby splotches
BRIGKIMMD1,Katie,Tabby with white bib
BRIGKIMMD1,Kristen,Tuxedo cat
BROWANNDC1,Amber,"All black, somewhat furry"
CAMGLOMD1,Gretchen,"Small tabby, bold markings"
CAMGLOMD1,Greg,"Light tabby, white bib, no collar"
CAMPROSMD1,Ramon,"Calico, white bib, socks, no collar"
CAMPROSMD1,Rachel,"Light orange, furry"
EGANMARMD1,Mary,"Tuxedo with collar, white left leg"
EGANMARMD1,Maddie,"Small, orange"
EGANMARMD1,Max,"Tabby with white underneath, no collar"
FISHFERVA1,Frank,All white
FISHFERVA1,Felicity,White with tabby splotches
GECACARVA1,Chris,"Gray tabbyish, white underneath, collar"
GECACARVA1,Carol,"Gray tabby with collar, lighter chest but not white"
GECACARVA1,Clyde,"Gray, white bib, no collar"
GERYERIMD1,Eric,Furry gray and white
KESTSABDC1,Stu,Small tabby
LANDCELVA1,Catherine,Small black
LANDCELVA1,Cindy,Tuxedo
MANNJANDC1,Jake,"Tuxedo, thin white line down face, collar"
MANNJANDC1,Clem,"All black, shorthair, collar: ""Clem"""
MANNJANDC1,Jerome,"All black, slightly furry, no collar"
MANNJANDC1,Janet,Tabby
MCDOELIVA1,Claire,"All black, collar (Claire's cat)"
MCDOELIVA1,Ellie,"All black, no collar"
MCDOELIVA1,Earl,Tuxedo
MISSEDDC1,Edison,Dark siamese
MISSEDDC1,Enid,Tabby with white stomach
MOLIKARMD1,Kevin,Furry orange
MOLIKARMD1,Karl,"All white with some faint color on face, no collar"
MOLIKARMD1,Kermit,"Regular size, color tabby, no collar"
MOLIKARMD1,Kitten,"Small, dark tabby, no collar, shorthair"
MOLIKARMD1,Kathryn,"Tuxedo, no collar"
MOLIKARMD1,Kim,"Siamese-colored, slightly furry"
MOLIKARMD1,Kyle,"Tabby with white chin, underneck, floppy right ear"
MOLIKARMD1,Kenny,"Slightly small, furry tabby, no collar"
MOLIKARMD1,Keaton,"Tabby with white belly, nose/lower face"
MOSMCARMD1,Christine,Tabby
MOSMCARMD1,Click,All black
OBRICHRMD1,Clive,"Dark tabby, faint markings"
OBRICHRMD1,Orange,Cranston
OBRICHRMD1,Cheese,"Dark tabby, faint markings"
OBRICHRMD1,Cheez-it,"Dark tabby, faint markings"
OBRICHRMD1,Cheeto,Gray tabby
OBRICHRMD1,Cheesers,Almost-black tabby
OBRICHRMD1,Cheese-whiz,Almost-black tabby
OBRICHRMD1,Cheep,Tortoiseshell
ONTAHOUDC1,Holden,Tuxedo
PIROELADC1,Ermine,"Tuxedo, white on face, collar"
REITBOBMD1,Benjamin,Dark tabby-ish with white bib
ROHRSALMD1,Charlie,White with orange splotches (Sally's barn cat)
ROHRSALMD1,Sally,All white (Sally's barn cat)
ROHRSALMD1,Salvatore,Cow cat
SCHLROBMD1,Robyn,"Dilute calico, white on face, legs, tip of tail; one eye?"
SCHLROBMD1,Rex,"Tabby, white underneath"
SILLSCOMD1,Sparky,"Shorthair tuxedo, medium white triangle on nose"
SILLSCOMD1,Sammy,"Furry gray, white underneath"
SILLSCOMD1,Soledad,Light-colored (orange?)
SILLSCOMD1,Sean,"Slightly furry tuxedo, tiny white triangle on nose"
STANJEFMD1,Sarah,Calico (owned by Sarah?)
STURCARMD1,Callie,Dark gray tabby
STURCARMD1,Crab,"Gray and white cat, almost tuxedo but not dark enough"
TATEJUAMD1,Jackie,"Tuxedo, collar"
TATEJUAMD1,James,Light-colored (orange?)
TATEJUAMD1,Jonathan,Tabby
VONGJENMD1,Jare,Tabby
WILLTERMD1,Timothy,"White, calico spots"
WILLTERMD1,Tabitha,"All black, no collar"
ZAMBTRAMD1,Ty,Gray
ZAMBTRAMD1,Tina,Black and white (tuxedo)
ZAMBTRAMD1,Tanya,Cow cat
