"","birdID","site","date","typeCapture","age","sex","mass","wing"
"1","1232-87923","WOLFKARDC1","2008-06-26","Band","AHY","M",75.3,129
"2","1232-87924","WOLFKARDC1","2008-06-26","Band","AHY","M",77.6,126
"3","1232-88701","OLONMARDC1","2007-06-29","Band","AHY","F",NA,NA
"4","1272-42487","OLONMARDC1","2015-07-14","Band","AHY","F",77.7,125
"5","1272-43006","WOLFAMYDC1","2008-06-05","Band","AHY","M",74.1,123
"6","1272-43107","GERYERIMD1","2008-07-09","Band","HY","U",76.8,128
"7","1272-43183","GERYERIMD1","2014-04-14","Band","AHY","M",68.9,127
"8","1292-64292","GERYERIMD1","2012-07-19","Band","HY","U",76.2,121
"9","1292-64515","GERYERIMD1","2009-07-17","Band","HY","U",75.9,121
"10","1292-64548","OLONMARDC1","2014-06-20","Band","AHY","M",NA,NA
"11","1342-74090","WOLFAMYDC1","2013-06-15","Band","SY","M",82.1,124
"12","1352-46571","OLONMARDC1","2016-07-21","Band","AHY","UNK",48.9,115
"13","1352-46574","MISSEDDC1","2015-07-06","Band","HY","U",71.4,121
"14","1801-77752","MISSEDDC1","2003-05-26","Band","AHY","M",42.1,93
"15","1801-77753","MISSEDDC1","2003-05-26","Band","AHY","M",54.4,93
"16","1801-77853","MISSEDDC1","2004-05-25","Band","AHY","M",35.6,88
"17","1901-20508","WOLFKARDC1","2003-07-09","Band","AHY","M",21.8,69.5
"18","1901-46103","WOLFKARDC1","2006-07-04","Band","ASY","M",38.2,89
"19","1951-41088","WOLFKARDC1","2007-06-13","Band","AHY","M",36.3,89
"20","1991-46152","GERYERIMD1","2007-07-07","Band","AHY","M",34.7,90
"21","2241-18004","MISSEDDC1","2005-05-23","Band","SY","M",20.2,60.5
"22","2250-24416","MISSEDDC1","2001-06-22","Band","AHY","M",10.9,51.5
"23","2251-80338","WOLFAMYDC1","2010-05-20","Band","AHY","M",20.1,64
"24","2251-80390","WOLFKARDC1","2010-07-27","Band","AHY","F",18.5,62
"25","2251-80391","WOLFKARDC1","2010-07-27","Band","AHY","M",19.3,62
"26","2261-38339","GERYERIMD1","2007-07-21","Band","AHY","F",18.2,61
"27","2261-38342","GERYERIMD1","2007-07-21","Band","AHY","F",19.2,68
"28","2261-38343","GERYERIMD1","2007-07-21","Band","AHY","F",18.2,63
"29","2281-69120","OLONMARDC1","2007-07-11","Band","AHY","M",21,69
"30","2281-69218","WOLFAMYDC1","2007-07-13","Band","AHY","M",19.2,61
"31","2281-69405","WOLFKARDC1","2007-06-13","Band","AHY","M",21.5,65
"32","2301-56026","OLONMARDC1","2007-07-11","Band","AHY","F",35,90
"33","2301-56554","MISSEDDC1","2008-06-27","Band","HY","U",34.3,88
"34","2301-56588","WOLFAMYDC1","2008-06-05","Band","AHY","F",44.2,91
"35","2301-56650","OLONMARDC1","2008-07-21","Band","AHY","M",44.4,90
"36","2301-56844","WOLFKARDC1","2008-06-26","Band","AHY","M",34.4,89
"37","2301-56905","MISSEDDC1","2007-06-21","Band","AHY","M",42.5,96
"38","2301-56908","OLONMARDC1","2007-06-29","Band","AHY","M",38.2,91
"39","2301-56961","WOLFAMYDC1","2009-07-20","Band","AHY","U",33.6,91
"40","2301-56962","WOLFAMYDC1","2009-07-20","Band","AHY","F",38.1,91
"41","2301-56963","WOLFAMYDC1","2009-07-20","Band","AHY","M",38.7,94
"42","2341-29602","OLONMARDC1","2008-07-21","Band","HY","U",17.4,56
"43","2341-30018","GERYERIMD1","2008-07-09","Band","HY","U",18.8,63
"44","2341-30019","GERYERIMD1","2008-07-09","Band","AHY","M",20.2,68
"45","2341-30127","WOLFKARDC1","2008-06-26","Band","AHY","M",21.5,65
"46","2341-30375","WOLFAMYDC1","2012-07-07","Band","HY","U",NA,NA
"47","2341-30376","WOLFAMYDC1","2012-07-07","Band",NA,NA,NA,NA
"48","2341-30377","WOLFAMYDC1","2012-07-07","Band","U","U",19.1,63
"49","2341-30393","WOLFKARDC1","2012-08-06","Band","AHY","M",20.1,65
"50","2341-30394","WOLFKARDC1","2012-08-06","Band","AHY","F",21.4,60
"51","2341-30395","WOLFKARDC1","2012-08-06","Band","AHY","M",21.6,68
"52","2411-15050","WOLFKARDC1","2009-07-29","Band","AHY","M",20,65
"53","2411-37289","MISSEDDC1","2009-06-25","Band","AHY","M",36.2,94
"54","2411-37381","OLONMARDC1","2009-07-01","Band","ASY","M",34.3,89
"55","2411-37382","OLONMARDC1","2009-07-01","Band","HY","U",34.8,84.5
"56","2411-37383","OLONMARDC1","2009-07-01","Band","HY","U",36.5,88.5
"57","2411-37384","OLONMARDC1","2009-07-01","Band","ASY","M",36.2,92.5
"58","2421-11360","OLONMARDC1","2015-07-14","Band","HY","U",39.9,85
"59","2421-11399","OLONMARDC1","2015-07-14","Band","AHY","U",35.8,91
"60","2421-11400","OLONMARDC1","2015-07-14","Band","HY","U",34.7,90
"61","2421-11564","WOLFKARDC1","2010-07-27","Band","AHY","F",44.9,89
"62","2421-11565","WOLFKARDC1","2010-07-27","Band","AHY","M",37.5,91
"63","2421-11601","OLONMARDC1","2010-05-21","Band","AHY","M",32.3,91
"64","2421-11602","OLONMARDC1","2010-05-21","Band","AHY","F",39.3,92
"65","2421-11603","OLONMARDC1","2010-05-21","Band","AHY","F",39,86
"66","2421-11621","MISSEDDC1","2010-06-07","Band","AHY","M",37.5,91.5
"67","2421-11978","OLONMARDC1","2014-06-20","Band","SY","M",NA,NA
"68","2421-34698","GERYERIMD1","2012-07-19","Band","AHY","F",38.6,90.5
"69","2421-34699","GERYERIMD1","2012-07-19","Band","HY","U",37.8,87
"70","2441-14032","MISSEDDC1","2009-06-25","Band","HY","U",18.9,59
"71","2441-14138","OLONMARDC1","2009-07-01","Band","AHY","M",20,66.5
"72","2441-14139","OLONMARDC1","2009-07-01","Band","AHY","M",21.7,68
"73","2441-14198","GERYERIMD1","2012-07-19","Band","AHY","M",20.7,66.5
"74","2441-14199","GERYERIMD1","2012-07-19","Band","HY","U",19.5,62
"75","2441-96329","GERYERIMD1","2010-07-14","Band","AHY","M",20.8,69
"76","2441-96330","GERYERIMD1","2010-07-14","Band","AHY","F",16.4,62
"77","2441-96349","WOLFKARDC1","2013-06-04","Band","AHY","M",NA,NA
"78","2441-96495","OLONMARDC1","2012-07-06","Band","HY","U",19.7,58
"79","2441-96498","MISSEDDC1","2012-07-10","Band","AHY","M",20,59
"80","2441-96499","MISSEDDC1","2012-07-10","Band","AHY","F",17.8,56
"81","2441-96560","MISSEDDC1","2013-07-16","Band","AHY","M",21.3,57
"82","2460-22846","GERYERIMD1","2007-07-13","Band","HY","U",9.9,57
"83","2460-22850","GERYERIMD1","2007-07-21","Band","HY","U",8.9,62
"84","2460-22851","GERYERIMD1","2007-07-21","Band","HY","U",11.1,51
"85","2460-22852","GERYERIMD1","2007-07-21","Band","AHY","F",10.3,63
"86","2460-22853","GERYERIMD1","2007-07-21","Band","AHY","M",7.8,63
"87","2460-22931","OLONMARDC1","2007-07-11","Band","AHY","F",10.5,46
"88","2460-22932","OLONMARDC1","2007-07-11","Band","HY","U",11.5,50
"89","2531-74536","WOLFKARDC1","2015-07-05","Band","SY","M",30.7,86.5
"90","2531-74537","WOLFKARDC1","2015-07-05","Band","HY","U",32,75
"91","2531-74583","WOLFKARDC1","2014-08-16","Band","HY","U",34.6,89
"92","2531-90260","WOLFAMYDC1","2014-06-14","Band","AHY","M",32.1,87
"93","2540-62850","OLONMARDC1","2008-07-21","Band","HY","U",10.1,60
"94","2561-44942","WOLFKARDC1","2012-08-06","Band","AHY","M",42.7,93
"95","2561-56807","OLONMARDC1","2012-07-06","Band","AHY","M",37.2,93
"96","2561-56808","OLONMARDC1","2012-07-06","Band","AHY","F",31.6,86
"97","2561-56809","MISSEDDC1","2012-07-10","Band","AHY","M",41.5,95
"98","2561-56890","GERYERIMD1","2014-04-14","Band","AHY","F",49,91
"99","2561-56891","GERYERIMD1","2014-04-14","Band","AHY","M",43.1,93
"100","2570-44760","WOLFKARDC1","2012-08-06","Band","U","U",9.8,61
"101","2571-70338","WOLFAMYDC1","2014-06-14","Band","AHY","M",34.4,65
"102","2571-90085","GERYERIMD1","2015-06-30","Band","AHY","M",20.1,69.5
"103","2571-90086","GERYERIMD1","2015-06-30","Band","AHY","M",21.3,66
"104","2571-90144","OLONMARDC1","2013-08-05","Band","U","U",18.8,60
"105","2571-90163","GERYERIMD1","2014-04-14","Band","AHY","M",NA,NA
"106","2590-82433","OLONMARDC1","2009-07-01","Band","HY","U",9.8,62.5
"107","2590-82434","OLONMARDC1","2009-07-01","Band","AHY","F",8.9,57
"108","2610-37378","GERYERIMD1","2013-07-01","Band","AHY","F",8.5,59
"109","2641-63641","WOLFAMYDC1","2013-06-15","Band","SY","M",34.7,87
"110","2641-63642","WOLFAMYDC1","2013-06-15","Band","AHY","M",37.9,88
"111","2641-63678","MISSEDDC1","2013-07-16","Band","HY","U",36.8,86
"112","2641-63679","MISSEDDC1","2013-07-16","Band","HY","U",33.9,82
"113","2641-63680","MISSEDDC1","2013-07-16","Band","HY","U",36.2,85
"114","2641-63872","MISSEDDC1","2014-07-21","Band","AHY","F",NA,NA
"115","2641-63873","MISSEDDC1","2014-07-21","Band","AHY","M",NA,NA
"116","2641-63874","MISSEDDC1","2014-07-21","Band","AHY","M",NA,NA
"117","2641-63875","MISSEDDC1","2014-07-21","Band","AHY","F",NA,NA
"118","2641-63938","GERYERIMD1","2013-07-01","Band","AHY","F",37.1,89
"119","2641-63939","GERYERIMD1","2013-07-01","Band","HY","U",37.8,86
"120","2641-96842","MISSEDDC1","2015-07-06","Band","SY","M",27.3,89
"121","2641-96843","MISSEDDC1","2015-07-06","Band","AHY","M",35.8,91
"122","2651-47545","GERYERIMD1","2015-06-30","Band","AHY","F",39,86
"123","2651-47560","GERYERIMD1","2016-06-28","Band","SY","M",34.4,86
"124","2651-47561","GERYERIMD1","2016-06-28","Band","SY","M",32.2,85
"125","2651-47562","GERYERIMD1","2016-06-28","Band","AHY","F",44.1,88
"126","2651-51871","OLONMARDC1","2016-07-21","Band","AHY","M",44.7,92
"127","2651-51872","OLONMARDC1","2016-07-21","Band","ASY","UNK",35.3,92
"128","2651-51873","OLONMARDC1","2016-07-21","Band","HY","UNK",38.1,90
"129","2651-56770","WOLFAMYDC1","2015-07-22","Band","SY","F",41.6,88
"130","2651-56771","WOLFAMYDC1","2015-07-22","Band","SY","M",35.3,84
"131","2660-75761","MISSEDDC1","2014-04-25","Band",NA,NA,NA,NA
"132","2661-31546","WOLFKARDC1","2014-08-16","Band","AHY","F",19.6,64.6
"133","2661-31586","WOLFKARDC1","2015-07-05","Band","AHY","M",21.9,67
"134","2661-31889","OLONMARDC1","2015-07-14","Band","AHY","F",19.7,62
"135","2730-24707","WOLFKARDC1","2014-05-04","Band",NA,NA,NA,NA
"136","2741-54639","WOLFAMYDC1","2016-07-12","Band","AHY","F",NA,NA
"137","2741-54640","WOLFAMYDC1","2016-07-12","Band","AHY","UNK",NA,NA
"138","2741-54641","WOLFAMYDC1","2016-07-12","Band","AHY","M",NA,NA
"139","2741-54655","OLONMARDC1","2016-07-21","Band","HY","UNK",20.7,63
"140","2741-54656","OLONMARDC1","2016-07-21","Band","HY","UNK",19.4,61
"141","2741-54657","OLONMARDC1","2016-07-21","Band","AHY","M",20.8,63
"142","2741-54658","OLONMARDC1","2016-07-21","Band","HY","UNK",17.9,60
"143","2750-41405","OLONMARDC1","2015-07-14","Band","AHY","U",10,55
"144","4501-87456","WOLFKARDC1","2004-07-29","Band","AHY","M",22.7,65
"145","742-29443","OLONMARDC1","2008-07-21","Band","AHY","M",75,137
"146","742-29452","OLONMARDC1","2010-05-21","Band","AHY","F",78.8,121.5
"147","742-29467","MISSEDDC1","2010-06-07","Band","AHY","M",74.4,129
"148","8001-21215","MISSEDDC1","2001-06-22","Band","ASY","M",32.6,93
"149","8001-77916","WOLFKARDC1","2003-07-09","Band","HY","U",32.2,88
"150","8001-77917","WOLFKARDC1","2003-07-09","Band","HY","U",34.7,88
"151","8001-77918","WOLFKARDC1","2003-07-09","Band","ASY","M",34,87
"152","8001-77919","WOLFKARDC1","2003-07-09","Band","HY","U",39.2,85
"153","962-47747","WOLFKARDC1","2007-06-13","Band","AHY","M",48,107
"154","962-47838","WOLFKARDC1","2003-07-09","Band","AHY","M",83.1,130
