site,mCats,notes
BALASUCMD1,0,
BARBJERMD1,0,
BEALTOMMD1,1,
BLOCDAVMD1,6,
BRIGKIMMD1,2,
BROWANNDC1,1,
BROWANNMD1,0,
BUISNORVA1,0,
BURDROBVA1,0,
CAMPGLOMD1,2,
CAMPROSMD1,2,
CLARCOLDC1,0,
COLSKATMD1,0,
EGANMARMD1,3,possibly 4
FARYSIMMD1,0,
FISHFERVA1,2,
GECACARVA1,3,
GERYERIMD1,1,
JACOMERMD1,0,
KESTSABDC1,1,
KEYESUSMD1,0,
LANDCELVA1,1,
LEONTESDC1,0,
MANNJANDC1,4,
MCDOELIVA1,3,
MISSEDDC1,2,
MOLIKARMD1,9,
MORRCHRVA1,0,
MOSMCARMD1,2,
NEWBCARVA1,0,
OBRICHRMD1,8,
OLONMARDC1,0,
ONTAHOUDC1,1,
PADORAMVA1,0,
PERRCHRMD1,0,
PHARAIMMD1,0,
PIROELADC1,1,
REITBOBMD1,1,
ROHRSALMD1,3,
SALOSHEMD1,0,
SCHLROBMD1,2,
SILLSCOMD1,4,
STANJEFMD1,1,
STEWBETMD1,0,
STUECHRVA2,0,
STURCARMD1,2,
TATEJUAMD1,3,
VERSBETMD1,0,
VONGJENMD1,1,
WILLTERMD1,2,Possibly 3
WOLFAMYDC1,0,
WOLFKARDC1,0,
ZAMBTRAMD1,3,possibly 4
