"site","eduHS"
"BALASUCMD1",0.929236499068901
"BARBJERMD1",0.944512195121951
"BEALTOMMD1",0.940178991992463
"BLOCDAVMD1",0.906848149723522
"BRIGKIMMD1",0.943603851444292
"BROWANNDC1",0.971167174937621
"BROWANNMD1",0.960632570659489
"BUISNORVA1",0.958712541620422
"BURDROBVA1",0.942261619549593
"CAMPGLOMD1",0.872680291284942
"CAMPROSMD1",0.877454299255247
"CLARCOLDC1",0.985719030222517
"COLSKATMD1",0.988606485539001
"EGANMARMD1",0.992058239576439
"FARYSIMMD1",0.946927374301676
"FISHFERVA1",0.9831867563373
"GECACARVA1",0.955465587044534
"JACOMERMD1",0.959651035986914
"KESTSABDC1",0.985719030222517
"KEYESUSMD1",0.964028776978417
"LANDCELVA1",0.928122819260293
"LEONTESDC1",0.998441639395356
"MANNJANDC1",0.977546296296296
"MCDOELIVA1",0.85875533862111
"MOLIKARMD1",0.926871552403467
"MORRCHRVA1",0.978835978835979
"MOSMCARMD1",0.937092833876222
"NEWBCARVA1",0.98785046728972
"OBRICHRMD1",0.79812030075188
"ONTAHOUDC1",0.98580121703854
"PADORAMVA1",0.875763747454175
"PERRCHRMD1",0.972962680883473
"PHARAIMMD1",0.947833065810594
"PIROELADC1",0.968288177339901
"REITBOBMD1",0.906150919467343
"ROHRSALMD1",0.883748517200475
"SALOSHEMD1",0.928249097472924
"SCHLROBMD1",0.932139491046183
"SILLSCOMD1",0.838371624345022
"STANJEFMD1",0.991035410129987
"STEWBETMD1",0.864243614931238
"STUECHRVA2",0.994577006507592
"STURCARMD1",0.958702967268278
"TATEJUAMD1",0.947294869235376
"VERSBETMD1",0.923432089265102
"VONGJENMD1",0.992671927846674
"WILLTERMD1",0.928249097472924
"ZAMBTRAMD1",0.974764281752635
"GERYERIMD1",0.983676975945017
"MISSEDDC1",0.984039900249377
"OLONMARDC1",0.989613387189844
"WOLFAMYDC1",0.971998101566208
"WOLFKARDC1",0.998441639395356
