"site","lon","lat","fips","can","imp","medianIncome"
"BALASUCMD1",-76.9541990076624,39.0064682611147,"24033807301",65.48449142,14.83659224,61146
"BARBJERMD1",-76.4631086824912,39.113122209328,"24003731303",38.09019673,14.53846335,107517
"BEALTOMMD1",-76.7946731097776,38.974053618914,"24033800408",65.96875845,8.157654453,109022
"BLOCDAVMD1",-77.0045115539156,38.975700455311,"24031701701",52.86125445,18.61439418,71958
"BRIGKIMMD1",-76.5480222494896,39.1266584026691,"24003731204",6.773998588,47.5602789,83274
"BROWANNDC1",-77.0533363721153,38.9000573371157,"11001005600",0.098821132,73.30393319,64446
"BROWANNMD1",-76.4850169465092,38.9625652431145,"24003706302",10.17267325,6.921703622,86964
"BUISNORVA1",-77.264378567856,38.7415669519317,"51059492202",74.63208501,3.421736318,183547
"BURDROBVA1",-77.4181144800985,38.8651568521348,"51059491502",18.32253748,26.95895614,187222
"CAMPGLOMD1",-76.9287883268322,39.0623673050514,"24033807407",43.02058961,10.51684714,86815
"CAMPROSMD1",-77.0225525837239,39.0141959067996,"24031702302",68.94950162,6.690999457,73367
"CLARCOLDC1",-77.0475359868677,38.9197025156491,"11001004001",2.679418486,63.33814942,106227
"COLSKATMD1",-76.8442151599822,39.1565321514856,"24027606804",55.65338119,14.05393675,114271
"EGANMARMD1",-77.1096766185884,38.947608369891,"24031705702",25.89846216,29.23324761,173646
"FARYSIMMD1",-77.0176992560151,38.9889073104869,"24031702401",20.51843583,37.24653924,128882
"FISHFERVA1",-77.1318150347701,38.9128232508679,"51013100300",33.96080522,16.41336765,226645
"GECACARVA1",-77.1225716009195,38.8847537966433,"51013100700",27.43229868,26.20836622,88533
"JACOMERMD1",-77.2043849507613,39.084150839967,"24031701221",18.71693432,35.1344684,123643
"KESTSABDC1",-77.0470599057996,38.9228013855518,"11001004001",17.81358612,46.01769004,106227
"KEYESUSMD1",-77.3079232199463,39.0903092861997,"24031700604",64.01294036,1.348740725,172627
"LANDCELVA1",-77.2409740980646,38.8821441310748,"51059460600",38.44345769,16.06148664,151932
"LEONTESDC1",-77.0569116510095,38.934828003419,"11001001302",9.400422031,58.55267795,84758
"MANNJANDC1",-77.0575403477092,38.9725246018463,"11001001500",60.19210468,6.894112475,193233
"MCDOELIVA1",-77.0787779794571,38.7929788624742,"51059420600",18.54713354,33.98009568,92292
"MOLIKARMD1",-76.5350809983348,38.7039618017231,"24009860401",8.527011599,36.94675413,85139
"MORRCHRVA1",-77.2989499001777,39.0361218098143,"51059480100",40.52244712,0.253957472,237656
"MOSMCARMD1",-76.46771668999,39.0927183697406,"24003731202",28.26881615,8.649559101,95029
"NEWBCARVA1",-77.3272162411491,38.8893852637741,"51059461201",92.1379243,0.000842028,191471
"ONTAHOUDC1",-77.0425825905497,38.9255468779107,"11001003900",3.203243752,57.91625032,76563
"PADORAMVA1",-77.1034207503836,38.7852933604881,"51059420700",47.60664292,15.11515326,103071
"PERRCHRMD1",-76.5480020347082,39.0104043301862,"24003702702",98.61435002,0,133846
"PHARAIMMD1",-76.4700864231309,39.0174585594387,"24003730902",83.85746467,0.654714774,133333
"PIROELADC1",-77.0823761439404,38.9574333758481,"11001001100",14.99615988,47.63817169,121250
"REITBOBMD1",-77.0205170238247,38.9942105859503,"24031702402",26.15622598,20.05853178,67908
"ROHRSALMD1",-76.5534926215145,38.8599418467417,"24003701400",61.16224778,0.463756779,125304
"SALOSHEMD1",-76.9210627714955,38.9272682853083,"24033804200",44.62693072,19.82525979,1e+05
"SCHLROBMD1",-76.8180577266688,39.3349910870118,"24005402202",60.11733485,0,112813
"SILLSCOMD1",-76.9916708940604,38.986237126623,"24031701703",18.83333056,36.37380132,82986
"STANJEFMD1",-77.0684569247117,38.9771970222736,"24031705200",63.17800932,3.963088948,240568
"STEWBETMD1",-76.9858815872099,39.0830059795057,"24031701415",43.13767455,10.65494417,97955
"STUECHRVA2",-77.1659731557755,38.9177084431297,"51059470700",34.6713384,20.95810204,163466
"STURCARMD1",-76.8734802465547,39.0030714340265,"24033806708",52.33907446,34.19656587,49804
"TATEJUAMD1",-76.5658336701947,38.9653292292578,"24003702402",41.28186902,15.26069222,97481
"VERSBETMD1",-76.5975293813626,38.7227781827962,"24003708001",7.6317253,2.339798149,93438
"VONGJENMD1",-77.1313422998469,39.0098526330768,"24031704502",39.74295739,17.46857133,184500
"WILLTERMD1",-76.9176544071728,38.930063504868,"24033804200",27.76305275,36.48290231,1e+05
"ZAMBTRAMD1",-77.0750031602788,38.9827751648912,"24031705100",38.9206214,17.42568587,173092
