"month","sampleOrder","site"
1,1,"SALOSHEMD1"
1,2,"GERYERIMD1"
1,3,"BUISNORVA1"
1,4,"MOLIKARMD1"
1,5,"WOLFAMYDC1"
1,6,"FREYFREMD1"
1,7,"STURCARMD1"
1,8,"MANNJANDC1"
1,9,"ZAMBTRAMD1"
1,10,"LEONTESDC1"
1,11,"SILLSCOMD1"
1,12,"KEYESUSMD1"
1,13,"EGANMARMD1"
1,14,"GECACARVA1"
1,15,"ONTAHOUDC1"
1,16,"BURDROBVA1"
1,17,"COLSKATMD1"
1,18,"KESTSABDC1"
1,19,"TATEJUAMD1"
1,20,"LANDCELVA1"
1,21,"NEWBCARVA1"
1,22,"BROWANNMD1"
1,23,"FARYSIMMD1"
1,24,"FISHFERVA1"
1,25,"PIROELADC1"
1,26,"BRIGKIMMD1"
1,27,"CAMPGLOMD1"
1,28,"CAMPROSMD1"
1,29,"BEALTOMMD1"
1,30,"MISSEDDC1"
1,31,"BROWANNDC1"
1,32,"PERRCHRMD1"
1,33,"JACOMERMD1"
1,34,"WILLTERMD1"
1,35,"REITBOBMD1"
1,36,"VONGJENMD1"
1,37,"BARBJERMD1"
1,38,"PADORAMVA1"
1,39,"CLARCOLDC1"
1,40,"OLONMARDC1"
1,41,"BLOCDAVMD1"
1,42,"MORRCHRVA1"
1,43,"SCHLROBMD1"
1,44,"PHARAIMMD1"
1,45,"STEWBETMD1"
1,46,"BALASUCMD1"
1,47,"BOONGREMD1"
1,48,"OBRICHRMD1"
1,49,"MCDOELIVA1"
1,50,"PERNMIKMD1"
1,51,"WOLFKARDC1"
1,52,"VERSBETMD1"
1,53,"MOSMCARMD1"
2,1,"REITBOBMD1"
2,2,"CLARCOLDC1"
2,3,"BROWANNDC1"
2,4,"EGANMARMD1"
2,5,"CAMPGLOMD1"
2,6,"PADORAMVA1"
2,7,"GECACARVA1"
2,8,"MANNJANDC1"
2,9,"VONGJENMD1"
2,10,"FISHFERVA1"
2,11,"SILLSCOMD1"
2,12,"FREYFREMD1"
2,13,"MOLIKARMD1"
2,14,"BROWANNMD1"
2,15,"BLOCDAVMD1"
2,16,"MCDOELIVA1"
2,17,"BEALTOMMD1"
2,18,"ONTAHOUDC1"
2,19,"CAMPROSMD1"
2,20,"OLONMARDC1"
2,21,"FARYSIMMD1"
2,22,"NEWBCARVA1"
2,23,"BALASUCMD1"
2,24,"BOONGREMD1"
2,25,"TATEJUAMD1"
2,26,"BARBJERMD1"
2,27,"COLSKATMD1"
2,28,"KESTSABDC1"
2,29,"STEWBETMD1"
2,30,"MISSEDDC1"
2,31,"JACOMERMD1"
2,32,"KEYESUSMD1"
2,33,"WILLTERMD1"
2,34,"SCHLROBMD1"
2,35,"ZAMBTRAMD1"
2,36,"STURCARMD1"
2,37,"MORRCHRVA1"
2,38,"SALOSHEMD1"
2,39,"MOSMCARMD1"
2,40,"BURDROBVA1"
2,41,"WOLFKARDC1"
2,42,"LEONTESDC1"
2,43,"WOLFAMYDC1"
2,44,"PERNMIKMD1"
2,45,"PIROELADC1"
2,46,"GERYERIMD1"
2,47,"BUISNORVA1"
2,48,"LANDCELVA1"
2,49,"PHARAIMMD1"
2,50,"PERRCHRMD1"
2,51,"BRIGKIMMD1"
2,52,"VERSBETMD1"
2,53,"OBRICHRMD1"
3,1,"CAMPGLOMD1"
3,2,"FISHFERVA1"
3,3,"STEWBETMD1"
3,4,"SALOSHEMD1"
3,5,"ONTAHOUDC1"
3,6,"EGANMARMD1"
3,7,"BOONGREMD1"
3,8,"MISSEDDC1"
3,9,"BLOCDAVMD1"
3,10,"FREYFREMD1"
3,11,"KEYESUSMD1"
3,12,"MCDOELIVA1"
3,13,"BROWANNDC1"
3,14,"MORRCHRVA1"
3,15,"ZAMBTRAMD1"
3,16,"SILLSCOMD1"
3,17,"WOLFKARDC1"
3,18,"BUISNORVA1"
3,19,"PHARAIMMD1"
3,20,"FARYSIMMD1"
3,21,"LANDCELVA1"
3,22,"PERRCHRMD1"
3,23,"KESTSABDC1"
3,24,"SCHLROBMD1"
3,25,"TATEJUAMD1"
3,26,"PIROELADC1"
3,27,"CAMPROSMD1"
3,28,"WILLTERMD1"
3,29,"REITBOBMD1"
3,30,"MANNJANDC1"
3,31,"COLSKATMD1"
3,32,"NEWBCARVA1"
3,33,"CLARCOLDC1"
3,34,"GERYERIMD1"
3,35,"PERNMIKMD1"
3,36,"LEONTESDC1"
3,37,"BRIGKIMMD1"
3,38,"JACOMERMD1"
3,39,"BALASUCMD1"
3,40,"GECACARVA1"
3,41,"OLONMARDC1"
3,42,"BROWANNMD1"
3,43,"MOLIKARMD1"
3,44,"BEALTOMMD1"
3,45,"STURCARMD1"
3,46,"OBRICHRMD1"
3,47,"VERSBETMD1"
3,48,"WOLFAMYDC1"
3,49,"VONGJENMD1"
3,50,"PADORAMVA1"
3,51,"MOSMCARMD1"
3,52,"BARBJERMD1"
3,53,"BURDROBVA1"
